kind	name	used_in	purpose	rust	notes
http	POST localbench-proxy /v1/chat/completions	localbench/proxy.py,localbench/workloads.py	served by localbench: omp's `localbench` provider (models.yml baseUrl http://127.0.0.1:11299/v1) posts every LLM call here; forwarded to the backend's /v1, streamed back re-chunked, one calls-log row per call (purpose, ttft_s, total_s, usage, aborted)	in-process server (see py-stdlib http.server row) + ureq upstream	HARD: the per-call TTFT and purpose labels of the e2e/rel/mem/sess tiers come from here
http	ANY localbench-proxy /v1/{path}	localbench/proxy.py	every other GET/POST omp sends to the provider (e.g. model discovery) is forwarded verbatim, headers minus hop-by-hop, not logged	same server; generic forward	path = request path minus the /v1 prefix appended to the upstream base
http	GET ollama-registry /v2/{repo}/manifests/{tag}	localbench/models.py	Accept application/vnd.docker.distribution.manifest.v2+json; sha256(body)[:12] compared with the installed model id (repo 'library/<name>' when unnamespaced; tag default 'latest')	ureq GET (raw bytes) + sha2	non-loopback metadata read (allowed: no inference leaves the machine); User-Agent: localbench; 15 s timeout, failures reported as HTTP code or unreachable
http	GET huggingface /api/models/{repo}	localbench/models.py	lastModified (ISO 8601) and sha for an MLX/Splash/tiny/fastembed model dir's source repo (freshness by time)	ureq GET + serde_json + jiff	no per-file digests in the summary: freshness compares upstream lastModified with the newest local file mtime + 60 s
http	GET huggingface /api/models?author={a}&search={f}&sort=lastModified&direction=-1&limit=30	localbench/models.py	releases in the last --days: [{id, lastModified, createdAt, pipeline_tag}] per installed publisher and per WATCH_PUBLISHERS x family	ureq GET with query via url::form_urlencoded + serde_json	text-to-image models are dropped
http	GET omlx /api/status	localbench/backends.py,localbench/sysstats.py	version (backend_version pin), loaded_models (resident_models at 1 Hz: oMLX lists every servable model on /v1/models and loads on demand)	ureq GET + serde_json	loopback, no API key while none is configured
http	POST ollama /api/pull	localbench/__main__.py	localbench pull: {model, stream: true}; NDJSON events {status, total?, completed?} or {error}, ending in {status: success}; then GET /api/tags confirms the tag and its digest	ureq POST with a line reader over the body (serde_json per line)	a 17 GB model streams for tens of minutes: no read timeout under an hour; progress printed per 10% per layer
http	GET mlx-smol /v1/models	localbench/smol.py,localbench/sysstats.py	readiness, served ids, context_length (smol set writes it into the profiles' static provider entry); resident_models at 1 Hz	ureq GET + serde_json	the server loads its one model at start: listed = resident
http	POST mlx-smol /v1/chat/completions	localbench/__main__.py	smol set's one-shot liveness reply ("Reply with exactly: OK", max_tokens 16) before profiles move; omp sends every smol call here after set	ureq POST + serde_json	not timed: a liveness check, not a measurement
sqlite	runs/observe.db	localbench/observe.py,localbench/__main__.py	localbench's own store (watch writes, report reads): samples(t real primary key, window_s, device_pct, free_pct, swap_mb), gpu(t, pid, name, model, pct), resident(t, server, model), clients(t, pid, name, omp_profile, cwd, servers JSON text); indexes gpu_t, clients_t; journal_mode=wal; report joins gpu/resident on samples.t	rusqlite (bundled) with execute_batch for the schema, prepared inserts in one Transaction per sample	one writer (the lb-watch hub process); readers may run during measurements (no model touched)
sqlite	~/.omp/agent/memories/mnemopi/banks/<bank>/mnemopi.db	localbench/memory.py	omp's mnemopi store, opened read-only (URI file:<db>?mode=ro, timeout 2 s): every table in sqlite_master with a metadata_json column (pragma table_info) -> select json_extract(metadata_json, '$.cwd'), count(*) group by 1	rusqlite (bundled, for JSON1) with OpenFlags::SQLITE_OPEN_READ_ONLY | SQLITE_OPEN_URI	schema owned by omp/mnemopi and unpinned (only the metadata_json column + $.cwd are relied on); readers touch the -shm file, so 'modified' ignores *-shm
sqlite	~/Library/Application Support/Ollama/db.sqlite	localbench/sysstats.py,localbench/__main__.py	Ollama.app's settings store, opened read-only (URI file:<db>?mode=ro, timeout 2 s): select auto_update_enabled from settings where id = 1, shown by `localbench status` (the app's updater re-reads it before each hourly download, app/updater/updater.go v0.34.4)	rusqlite with OpenFlags::SQLITE_OPEN_READ_ONLY | SQLITE_OPEN_URI	schema owned by Ollama.app (column added by its migration v14->v15); a missing file or column reads as unknown, never off
env	LOCALBENCH_HOME	localbench/workloads.py	the data root (fixtures/, goldens/, runs/, docs/evidence/) when set; else the checkout the package was loaded from. main() exits 2 for every verb but stats/memory/keep/pull/create when <root>/fixtures/omp is missing	std::env::var_os, else a path resolved from the executable or a compile-time CARGO_MANIFEST_DIR	a wheel install resolves the default to site-packages, which has no data: without the check `status` answered `parked: none` from empty state
env	LOCALBENCH_OMP	localbench/workloads.py	explicit path of the omp every child and pin uses (else PATH's omp)	std::env::var_os	two omp installs exist on this host (~/.bun/bin, ~/.local/bin): which one PATH finds first depends on the caller
env	OMP_PROFILE	localbench/workloads.py,localbench/sysstats.py,scripts/check-monitor-pane.sh	stripped from the env of every omp call (omp_env for reads of the user's setup, child_env for measured children); also read from other processes' env (ps eww) to label omp clients	Command::env_remove / env; reading another process's env via sysinfo Process::environ	another process's env is only visible for same-uid processes
env	PI_PROFILE	localbench/workloads.py,localbench/sysstats.py,scripts/check-monitor-pane.sh	legacy omp profile variable: stripped from child env; read from other processes' env like OMP_PROFILE	Command::env_remove	—
env	PI_CODING_AGENT_DIR	localbench/workloads.py,localbench/sysstats.py,scripts/check-monitor-pane.sh	omp agent dir: stripped by omp_env; SET by child_env to runs/omp-agent for every measured child; inference_clients records it as agent_dir and does not label that process profile default	Command::env_remove / Command::env	a process with only this variable is not the user's default profile
env	CLAUDE_CONFIG_DIR	localbench/workloads.py	dropped from every measured child's env (child_env): when set, omp's `claude` discovery provider loads MCP servers from ~/.claude.json regardless of enabledProviders	Command::env_remove	part of the isolation contract; omp 18.2.11 capability/index.ts isUserSourceEnabled
env	HOME	localbench/__main__.py,localbench/backends.py,localbench/memory.py,localbench/models.py,localbench/park.py,localbench/workloads.py,scripts/omp-fuzzy-probe.ts,scripts/check-monitor-pane.sh	Path.home()/expanduser: ~/.omp/agent (models.yml, config.yml, memories, cache), ~/.omp/profiles, ~/.omp/cache/fastembed, ~/.mlx-serve/models, ~/Library/Application Support/Splash; --mem-config ~ expansion	std::env::home_dir (or the home crate)	the TS probe resolves omp's install via process.env.HOME
env	PATH	localbench/backends.py,localbench/workloads.py	shutil.which('omp' / 'mlx-serve'); bare executable names in every subprocess call resolve through it (ollama, mlx-serve, omp, git, sysctl, ioreg, ps, lsof, …)	which crate; Command resolves bare names through PATH the same way (execvp)	the omp pin is whatever PATH finds unless LOCALBENCH_OMP is set
env	TMPDIR	scripts/probe-memory-overhead.py,scripts/probe-side-work.py,scripts/check-readiness.sh,.githooks/pre-commit	tempfile.mkdtemp (probe overlays); ${TMPDIR:-/tmp} scratch dirs in the gate scripts	std::env::temp_dir / tempfile crate	run dirs and omp cwds are hard-coded under /tmp, not TMPDIR (mnemopi harness detection matches /tmp/localbench-*)
env	SUDO_USER	scripts/install-sudoers.sh	the user granted passwordless powermetrics + purge	keep: sh script (runs as root, not part of the binary)	script refuses to run without it
env	KIT_MIN_LINES	scripts/check-readiness.sh	minimum content lines per planning-packet section (default 3)	keep: sh script (gate)	—
env	PI_SMOL_MODEL	scripts/check-monitor-pane.sh	the pane omp's smol override, read from its env via `ps eww`	keep: sh script; sysinfo Process::environ if ported	only visible for same-uid processes
env	LOCALBENCH_HF_DIR	localbench/__main__.py	root for `localbench pull hf:` downloads (default ~/.cache/localbench/hf; the owner points it at an external volume, a subdirectory because a Time Machine volume's root carries backupd's deny-add ACL)	std::env::var_os	MLX/safetensors repos are 20-56 GB; the space check names --to and this variable when a download does not fit
env	OLLAMA_MODELS	localbench/sysstats.py	fallback in ollama_models_dir() when Ollama.app's settings db has no `models` value (the app's own resolution order)	std::env::var_os	the app setting overrides it for the server; `ollama create` imports use only this, so localbench create sets it
env	LOCALBENCH_MLX_SERVE	localbench/backends.py	explicit path of the mlx-serve every launch and pin uses (else PATH's), read by backends.mlx_serve_bin() at each call; ab --b-mlx-serve sets it for B legs	std::env::var_os	Homebrew's formula stayed at 26.9.2 while GitHub shipped 26.9.3-26.9.5 (2026-09-25); a newer release runs side by side from an extracted tarball
file	runs/<stamp>__<label>__<backend>__<slug(model)>/	localbench/__main__.py	one dir per measurement (execute): mkdir(parents=True); stamp = UTC %Y%m%dT%H%M%SZ; label run|aa1|aa2|ab_a1|ab_b|ab_a2	std::fs::create_dir_all	gitignored scratch; banked receipts copy what matters
file	runs/LATEST	localbench/__main__.py	relative symlink to the newest run dir (unlink, then symlink_to(run_dir.name))	std::os::unix::fs::symlink (remove_file first)	a dangling LATEST is replaced too (is_symlink() check)
file	runs/<run>/progress.jsonl	localbench/__main__.py,localbench/render.py	append: one event object per line {t (3 dp), event, …} via json.dumps(default=str); terminal gets render.event_line	serde_json::to_writer + '\n' on an append-mode File (OpenOptions::append)	compact JSON with ', ' / ': ' separators (Python default)
file	runs/<run>/summary.json	localbench/__main__.py,localbench/render.py,scripts/break-golden.sh	write once: provenance{pins, fingerprint, localbench_rev, created, tiers, repeats, label}, verdicts, metrics, conformance, results, system{before, after, preflight, during, contention, power, cpu}, run_dir (indent=2, default=str); re-read by compare, bank, show, break-golden.sh (jq .provenance.pins)	serde_json::to_writer_pretty with preserve_order	immutable after write: banking later records the same evidence
file	runs/<run>/samples.jsonl	localbench/__main__.py,localbench/workloads.py	one client.Sample dict per request (text/reasoning clipped to 400 chars)	serde_json lines	raw per-request timing
file	runs/<run>/sampler.jsonl	localbench/__main__.py,localbench/sysstats.py	1 Hz Sampler series: t, load1, free_pct, swap_used_mb, pressure_level, gpu_* keys, resident{ollama, mlx-serve, splash}, gpu_procs[]	serde_json lines	the contention evidence
file	runs/<run>/report.md	localbench/__main__.py,localbench/render.py	markdown written by judge() via render.run_report (verdict first, pins, metric/conformance tables)	std::fs::write of a String built with write!/format!	never read back by code
file	runs/<run>/{omp,rel,relcold,relfresh,mem,sess}_calls.jsonl	localbench/proxy.py,localbench/workloads.py,scripts/probe-side-work.py,scripts/probe-memory-overhead.py	proxy calls log (append under a lock): t, t_start, label, model, messages, tools, purpose, enable_thinking, status, aborted, ttft_s, total_s, prompt_tokens, completion_tokens, cached_tokens, body; tiers re-read it and select rows by [t_start, t] inside an attempt's wall window	serde_json lines + Mutex<File>	window selection compares wall-clock floats written by the proxy thread with time.time() taken around each omp attempt
file	runs/<run>/bodies/<label>-NN.json	localbench/proxy.py,localbench/workloads.py	every chat request body omp sent, bytes verbatim (save_dir); rel failures list their body files	std::fs::write of the raw request bytes	counter is per proxy instance, 2-digit zero pad
file	runs/<run>/<tier>.<task>.<attempt>.omp.jsonl	localbench/workloads.py	omp --mode json stdout kept for e2e attempts (e2e.<task>.first|repeat) and failed rel attempts (<tier>.<task>.<i>)	std::fs::write	input to _omp_final re-reads
file	runs/<run>/sess.<s>.stderr.log	localbench/workloads.py	stderr of each omp --mode rpc child	Stdio::from(File::create(..))	—
file	runs/PARKED.json	localbench/park.py,localbench/models.py,localbench/__main__.py,scripts/probe-side-work.py	park state: [{name, parked_as, digest}] (indent=2); presence = something is parked; unpark deletes it	serde_json + std::fs	the only record of how to restore the user's smol model
file	goldens/<host_id>/<slug(backend)>__<slug(model)>.json	localbench/golden.py,localbench/__main__.py,localbench/render.py,scripts/break-golden.sh	golden: pins, aa_receipt, tier_pins{tier: pins}, metrics{case.metric: {value, better, tol, aa_rel_spread, tol_source, spread}}, conformance{case: {level, verdict, shape?}}; written only by aa --write-golden (indent=2, sort_keys=True); `show --diff` reads an older revision via git show	serde_json with sorted keys (BTreeMap or a sorting serializer) and Python-compatible pretty format	git-reviewed: formatting drift shows up as a diff of every golden
file	docs/evidence/receipts/<slug(name)>.json	localbench/__main__.py,localbench/render.py	banked receipts: kind run|aa|ab with problems, runs/legs (_receipt_view), A/B table (indent=2, default=str); status reads an mlx-serve golden's aa_receipt runs[0].provenance.fingerprint.model_dir	serde_json pretty	committed evidence cited by registries/claims.tsv
file	docs/evidence/DISCREPANCIES.md	localbench/golden.py	read: XFAIL grammar (text-format row) scoped per backend/model	std::fs::read_to_string + regex	a missing file = no XFAILs
file	fixtures/omp/<label>.json	localbench/workloads.py,localbench/__main__.py	recorded first omp request body (indent=1); replay drops model/stream/stream_options, pops messages, sets max_tokens 64, prepends a nonce; hashed into fixtures_sha	serde_json (preserve_order: body key order is sent upstream)	re-recorded only by `localbench record`
file	fixtures/omp/<label>.meta.json	localbench/workloads.py,localbench/__main__.py	sidecar: omp pins (omp_version, omp_sha, omp_path, omp_child_config, omp_mem_config), prompt_tokens, recorded_at, omp_calls, profile, omp_flags, child_config{path, sha16}, provider_path, messages, tools, backend_pins	serde_json	excluded from fixtures_sha
file	fixtures/omp/child-config*.yml	localbench/workloads.py,localbench/__main__.py	omp config overlays passed as --config (child-config.yml: memory off; child-config-mem.yml: mnemopi on; *-mem-fts.yml variant via --mem-config); hashed as omp_child_config / omp_mem_config pins, never parsed	std::fs::read for sha2	--mem-config/--b-mem-config accept any existing file (resolved absolute)
file	fixtures/omp/.capture/	localbench/__main__.py	record scratch: calls.jsonl, <label>-NN.json bodies, <label>.omp-stdout.jsonl; stale *.json unlinked first	std::fs + glob	gitignored scratch of the last recording
file	~/.omp/agent/models.yml	scripts/check-monitor-pane.sh	the user's omp providers, read by the monitor check (loopback baseUrls). localbench stopped writing it on 2026-09-23; a '# >>> localbench managed' block earlier versions appended is inert	std::fs::read_to_string (monitor script stays sh)	HARD-ish: edits the user's live omp config on every omp tier; the block must stay last and within the providers: mapping
file	runs/omp-agent/	localbench/workloads.py,localbench/__main__.py	localbench-owned omp agent dir for measured children (PI_CODING_AGENT_DIR): config.yml copied from fixtures/omp/agent/config.yml when it differs, models.yml written whole by ensure_localbench_model (provider localbench, baseUrl http://127.0.0.1:11299/v1, static model entries), memories/mnemopi/banks/ created by omp	std::fs::create_dir_all + write (serde_yaml not needed: the YAML is templated text)	gitignored (runs/); nothing of ~/.omp/agent is read by a measured child
file	fixtures/omp/agent/config.yml	localbench/workloads.py,localbench/__main__.py	base omp settings of measured children (defaultThinkingLevel: auto, mirroring the user's default profile); hashed as the omp_agent_config pin that e2e/rel/mem/sess rows bind to	std::fs::read for sha2	tracked; changing it re-generations every omp-bound golden row
file	~/.omp/agent/config.yml	localbench/park.py,localbench/models.py,scripts/check-monitor-pane.sh	omp profile settings; park reads the modelRoles smol line; also ~/.omp/profiles/*/agent/config.yml (profile list for routes_by_model)	std::fs::read_to_string + regex; glob for profiles	regex, not YAML: a flow-style or quoted smol value is missed
file	~/.omp/agent/memories/mnemopi/banks/<bank>/	localbench/memory.py,localbench/workloads.py	enumerate bank dirs, rglob files for size and newest mtime (excluding *-shm), rmtree harness banks (`memory --prune`); the mem/sess tiers now clean runs/omp-agent/memories/mnemopi/banks instead (memory.banks/remove_banks take the store root)	std::fs::read_dir + walkdir + remove_dir_all	only direct children of banks/ are ever removed
file	~/.mlx-serve/models/<org>/<name>/	localbench/models.py,localbench/backends.py	mlx-serve model dirs (glob */*/config.json); digest from .hf_commit | refs/main | .cache/huggingface/download/.gitattributes.metadata (first token, 12 chars) else sha256 of config.json + model.safetensors.index.json + tokenizer_config.json; size + newest mtime for freshness	std::fs + glob + walkdir + sha2	the model dir is also a CLI argument (mlx-serve:<dir>)
file	~/Library/Application Support/Splash/models/<org>/<name>/	localbench/models.py	Inco Splash packages (a dir with target/ [and draft/]): size + newest mtime vs HF	std::fs + walkdir	observation only
file	~/.omp/agent/cache/tiny-models/<repo>/	localbench/models.py	omp tiny model dirs (from `omp tiny-models list --json` repo): size + mtime vs HF	std::fs + walkdir	CPU models: invisible to the GPU samplers
file	~/.omp/cache/fastembed/<dir>/config.json	localbench/models.py	mnemopi's embedding model dirs; config.json _name_or_path names the HF repo	std::fs + serde_json	MNEMOPI_EMBEDDING_MODEL overrides are not visible here (docstring)
file	/tmp/<model dir name>.mlx-serve.log	localbench/backends.py	append: mlx-serve stdout+stderr for every start (human evidence: [args], [mtp], [spec-stats] lines)	OpenOptions::append + Stdio::from	never parsed by code (see text-format row)
file	/tmp/localbench-e2e/answer.txt	localbench/workloads.py	task fixture '4817\n' in the e2e/rel omp cwd	std::fs::write	the cwd prefix /tmp/localbench- is what memory.HARNESS_CWD recognizes
file	/tmp/localbench-{mem,sess}-<id>-…/	localbench/workloads.py	per-attempt omp cwds for mem (plant/control per fact and round) and sess (per session); mkdir, removed with their banks afterwards	std::fs::create_dir + remove_dir_all	mnemopi names a bank <basename(cwd)>-<hash>
file	/Applications/Ollama.app/Contents/Resources/ollama	localbench/backends.py	hashed (sha16) for the backend_sha pin	std::fs::File + sha2 streamed in 1 MiB blocks	fixed path, not PATH's ollama
file	<omp_bin()> and <which mlx-serve>	localbench/backends.py,localbench/__main__.py	resolved (symlinks followed) and hashed for omp_sha / backend_sha, cached by (path, mtime_ns, size)	std::fs::canonicalize + sha2	omp resolves to a JS entry file (dist/cli.js)
file	/tmp/lbside-<stamp>/, /tmp/lbmem-<stamp>/, $TMPDIR/lb{side,mem}-overlays-*/	scripts/probe-side-work.py,scripts/probe-memory-overhead.py	probe cwds (answer.txt, calls.jsonl) and YAML overlays written per arm/variant	tempfile + std::fs	never removed (manual cleanup; memory prune recognizes lbmem-/lbside-)
file	/etc/sudoers.d/localbench	scripts/install-sudoers.sh	'<user> ALL=(root) NOPASSWD: /usr/bin/powermetrics, /usr/sbin/purge', validated with visudo -cf, installed 0440 root:wheel	keep: sh script run once as root	the whole privilege surface
file	registries/claims.tsv, README.md, docs/planning/packet.md, docs/evidence/NEGATIVE_EVIDENCE.md	scripts/check-claim-discipline.sh,scripts/check-readiness.sh,.githooks/pre-commit	gate inputs: claim rows vs README patterns and proof files; packet section markers; ledger retry predicates	keep: sh gates (not part of the binary)	gates, not product
file	~/.bun/install/global/node_modules/@oh-my-pi/pi-tui/src/fuzzy.ts	scripts/omp-fuzzy-probe.ts	omp's provider-scoped fuzzy matcher, imported at runtime by the probe	keep: bun (probes omp's TypeScript internals)	path moves with omp installs
file	omp session .jsonl and agent.db of a pane's omp	scripts/check-monitor-pane.sh	found via `lsof -a -p <omp pid> -Fn`: agent.db locates the profile dir; the session .jsonl is read with jq for the last model_change / assistant provider+model	keep: sh script; if ported: libproc for open files + serde_json lines	point-in-time evidence only (the script says so)
file	runs/.mutation.lock	scripts/mutate.py,localbench/doctor.py	mutate.py's one-planter-per-tree lock: an atomic mkdir holding `owner` (`pid <n> since <ctime>`); doctor reads it and, with --fix, removes it only when that pid is gone (kill(pid, 0) is ESRCH)	std::fs::create_dir (atomic) + nix::sys::signal::kill(pid, None) == Err(ESRCH)	EPERM means a live process of another user: never stale
file	~/.localbench/audit.jsonl	localbench/audit.py,localbench/__main__.py,localbench/doctor.py	the mutation ledger: one JSON line per real invocation of a state-changing verb {id (<UTC yyyymmddThhmmssZ>-<6 hex>), t, verb, argv, actions, outcome done|refused|failed, detail, localbench_version, host, cwd}, appended; `audit` lists it, `why <id>` prints one row; a dry run writes nothing	serde_json (one line per row, Python's ', '/': ' separators) + std::fs::OpenOptions::append	a torn last line (a writer killed mid-append) is skipped on read; the path is read at call time so tests redirect it
text-format	ioreg IOAccelerator PerformanceStatistics	localbench/sysstats.py,localbench/__main__.py	regex '"<key>"=(\d+)' for "Device Utilization %", "Renderer Utilization %", "Tiler Utilization %", "In use system memory" -> gpu_device_pct, gpu_renderer_pct, gpu_tiler_pct, gpu_in_use_mem_bytes; preflight refuses when the device key is missing	none if IOKit is read natively (CFDictionary PerformanceStatistics); else regex over the shell-out	first match wins (one accelerator on this host); undocumented keys
text-format	ioreg AGXDeviceUserClient blocks	localbench/sysstats.py	output split on '+-o '; per block '"IOUserClientCreator" = "pid (\d+), ([^"]*)"' and the sum of every '"accumulatedGPUTime"=(\d+)' (ns, monotonic per client); GPU % = 100 * Δns / (Δt * 1e9) per pid, rows >= 0.5 % (>= 1.0 % in summaries, >= 5 % in status); ollama runner rows carry the model from '--model (\S+)' in their ps command	none if read natively (AppUsage array of dictionaries per client entry); else regex	HARD: relies on ioreg's '+-o ' entry markers and one IOUserClientCreator per block (blocks are read whole, so key order inside a block does not matter; line-by-line pairing did, because AppUsage precedes the creator); a process can exceed 100 % (several queues); Activity Monitor's GPU column reads the same counters
text-format	top -l CPU usage line	localbench/sysstats.py	regex 'CPU usage:.*?([\d.]+)% idle' per sample; busy = 100 - idle; the first sample (since boot) is dropped	none if host_processor_info is used; else regex	2 s interval in runs, 2 s x2 in preflight
text-format	ps output formats	localbench/sysstats.py	'pid=,command=' split at the first space; 'pid=,pcpu=,rss=,comm=' split(None, 3) with rss KiB -> MB and basename(comm), first 8 lines of -r; 'eww -o command=' searched for '\b(?:OMP_PROFILE|PI_PROFILE)=(\S+)'; omp detection '\bomp\b' and '--profile[= ](\S+)' in the command line	none if sysinfo/libproc are used; else regex	commands clipped to 160/200 chars in records
text-format	lsof -F field output	localbench/sysstats.py	lines tagged p<pid>, c<command>, n<local->remote>; remote port = after the last ':'; loopback when remote starts with '127.', '[::1]' or 'localhost'; counted per server by port {11434 ollama, 11234 mlx-serve, 11299 localbench-proxy, 8000 splash}; cwd = first 'n' line of '-a -p <pid> -d cwd -Fn'	none if libproc sockets are used; else a line parser	an idle keep-alive socket counts as a client
text-format	memory_pressure -Q	localbench/sysstats.py	regex 'free percentage:\s*(\d+)%'	regex (keep the shell-out)	—
text-format	sysctl -n values	localbench/sysstats.py	vm.swapusage 'used = ([\d.]+)M'; kern.memorystatus_vm_pressure_level 1 normal / 2 warn / 4 critical (else raw); hw.memsize // 2**30 = mem_gb; perflevel0/1 physicalcpu ints; iogpu.wired_limit_mb (0 -> None); host_id = re.sub('[^a-z0-9]+', '-', f'{hostname}-{chip}-{mem_gb}gb'.lower()).strip('-')	typed sysctl reads; regex only for the swapusage text	host_id must be reproduced byte for byte
text-format	system_profiler SPDisplaysDataType JSON	localbench/sysstats.py	regex '"sppci_cores"\s*:\s*"?(\d+)' over the JSON text	serde_json::Value lookup (string or number)	gpu_cores is display-only
text-format	pmset -g outputs	localbench/sysstats.py	'AC Power' / 'Battery Power' in -g ps; 'No thermal warning level has been recorded' (else whitespace-joined text) in -g therm; 'lowpowermode\s+(\d)' in -g	substring + regex	—
text-format	powermetrics plist stream	localbench/sysstats.py	NUL-separated XML plists; thermal_pressure; processor.{cpu_power, gpu_power, ane_power, combined_power} (mW); gpu.freq_hz -> MHz; (1 - gpu.idle_ratio) * 100 -> gpu_active_pct; summary mean/max per key	plist crate	root-only; absent grant -> available=false
text-format	<tool> --version first line	localbench/backends.py,localbench/__main__.py	first non-empty line of stdout+stderr not starting '[mem]': 'ollama version is X' -> X, 'mlx-serve X' -> X, 'omp/X' -> X	String ops (lines, strip_prefix)	mlx-serve prints '[mem] MLX buffer-pool cap …' before its version
text-format	omp config list --json	localbench/park.py,localbench/models.py,localbench/__main__.py	object {setting: {value, …}}; uses modelRoles{default, smol, tiny, judge, memory, commit}, defaultThinkingLevel, memory.backend, mnemopi.llmMode, mnemopi.noEmbeddings, mnemopi.embeddingModel, mnemopi.embeddingVariant; role targets matter when prefixed ollama/, localbench/, mlx-serve/, local/; ':<thinking level>' suffix stripped	serde_json::Value (settings are open-ended)	fallback chains are omp 18.2.11's (config/model-resolver.ts, title-generator.ts, commit/model-selection.ts): version-sensitive
text-format	omp tiny-models list --json	localbench/models.py	{"models": [{"key", "repo", …}]}	serde_json with #[derive(Deserialize)]	—
text-format	omp --mode json event lines	localbench/workloads.py,scripts/probe-side-work.py,scripts/probe-memory-overhead.py	one JSON object per line; _omp_final uses type=message_end with message.role=assistant: text = join of message.content[].text where type=text (last such message wins), usage input/output summed, llm_calls counted; ignores session, agent_start, turn_start, message_start, message_update, thinking_level_changed, turn_end, agent_end; non-JSON lines skipped	serde_json per line (#[serde(tag = "type")] enum with an Other arm)	omp ships most days: unknown fields and types must be tolerated
text-format	omp --mode rpc protocol v1	localbench/workloads.py	stdin: {"id", "type": "prompt", "message"} JSON lines; stdout: wait for type=ready (120 s); a turn ends at type=agent_end with willContinue != true, or type=response with success=false (error text); message_end frames feed _omp_final; closing stdin disposes the session (retention runs) and omp exits	serde_json lines over ChildStdin/ChildStdout + a reader thread and crossbeam-channel	TimeoutError/EOFError are data (the session's failure field), never a crash
text-format	OpenAI chat-completions SSE	localbench/client.py,localbench/proxy.py	request adds stream=true, stream_options.include_usage=true; lines 'data: <json>' until 'data: [DONE]'; choices[].delta.{content, reasoning_content, reasoning} strings and tool_calls[{index, function{name, arguments}}] (concatenated per index); choices[].finish_reason; usage{prompt_tokens, completion_tokens, prompt_tokens_details.cached_tokens}; first token = first chunk with a non-empty content/reasoning delta or any tool-call delta (client and proxy._has_token share the rule); prefill_tps = (prompt - cached) / ttft; decode_tps = (completion - 1) / (t_last - t_first)	serde_json per 'data:' line; Instant at each token-bearing chunk	completion_tokens falls back to token-bearing chunk count when usage is absent
text-format	omp request bodies (proxy purpose markers)	localbench/proxy.py	tools present -> main; else system turn contains 'Choose the reasoning effort this turn needs' -> auto-thinking, 'The state is untrusted data to judge.' -> judge, 'You are a precise long-term memory extractor.' -> memory-extract; user turn contains 'Summarize memories in 1-3 concise sentences.' -> memory-consolidate; else aux; list-form content is matched on its JSON text; enable_thinking copied	serde_json::Value + str::contains	version-sensitive: omp 18.2.11 prompt files (tests/test_proxy.py re-checks the installed ones)
text-format	ollama /api JSON bodies	localbench/backends.py,localbench/park.py,localbench/models.py,localbench/sysstats.py	/api/ps models[].{name, context_length}; /api/tags models[].{name, digest, size, remote_host}; /api/show {details{quantization_level, parameter_size}, model_info{'general.architecture'}}; model_digest = digest[:12]	serde_json structs with #[serde(default)]	ollama 0.32.15
text-format	mlx-serve / Splash /v1/models JSON	localbench/backends.py,localbench/sysstats.py	data[].{id, context_length, meta{architecture, quantization, mtp_loaded, context_length}}	serde_json structs with Option fields	mlx-serve 26.9.2; Splash unpinned
text-format	ollama registry manifest bytes	localbench/models.py	raw body; sha256(body)[:12] == the installed ollama model id means current (checked 2026-09-23: qwen3.6:35b-mlx e92a3e94bbca both ways)	sha2 over the exact bytes (no JSON re-serialization)	any re-encoding breaks the equality
text-format	Hugging Face model JSON	localbench/models.py	/api/models/{repo}: lastModified (ISO 8601, 'Z'), sha; list: [{id, lastModified, createdAt, pipeline_tag}]	serde_json + jiff Timestamp parse	—
text-format	mlx-serve log lines	localbench/backends.py	'[args] … ctx-size=0, pld=on', '[mtp] loaded native MTP head', '[spec-stats] mode=pld|mtp' in /tmp/<dir>.mlx-serve.log: NOT parsed by any code; read by hand as ledger evidence (the NEGATIVE_EVIDENCE MTP retry predicate needs '[spec-stats] mode=mtp')	none today; a port could parse them with regex into run pins	the only text surface the evidence depends on that no code checks
text-format	omp config.yml smol line	localbench/park.py	regex '^\s+smol:\s*ollama/(\S+)\s*$' (MULTILINE); a trailing ':<thinking level>' is stripped when the base still has a tag	regex with (?m)	YAML is not parsed
text-format	DISCREPANCIES.md XFAIL grammar	localbench/golden.py	header '##\s+DISC-\d+:\s+(\S+)\s+on\s+([^/\s]+)/(\S+)\s*$' opens a scope; '-\s+Status:\s+XFAIL\s+((?:conf|e2e|replay|micro)\.[A-Za-z0-9_.]+)' lists the case when it equals the header's case and backend/model match	regex line scanner	an XFAIL never excuses another backend/model
text-format	mnemopi bank names and harness cwds	localbench/memory.py	bank dir = '<basename(cwd)>-<hash>'; harness when every $.cwd matches '^(?:/private)?/tmp/(?:localbench-|lbmem-|lbside-|lbcap-)' or (no cwd rows, readable, name starts 'localbench-')	regex	mnemopi naming is omp-owned
text-format	fastembed config.json	localbench/models.py	'_name_or_path' -> HF repo (else the dir name)	serde_json	—
text-format	tmux list-panes format	scripts/check-monitor-pane.sh	'#{pane_id} #{pane_pid} #{pane_title}' resolved by awk; pane shell descendants from 'ps -A -o pid=,ppid=,command='	keep: sh	—
